16.5,-6.02034488548171,-6.02070644520097,-3.01067669807169,-13.4247786333491,-28.5840999013309,-78.8842173073269,-69.3750921293232,-71.7775905342853,-71.5208852883956,-90.758216913954
16.75,-6.02023987547325,-6.02071745165642,-3.01068632255286,-12.4986594527559,-28.9491026460546,-78.4831009138991,-68.5542481630186,-72.4948907892546,-72.0823570186881,-90.4709082927577
17,-6.02014576697412,-6.02076384954982,-3.01068473703784,-11.519037705599,-29.6960754614849,-77.8682241816054,-67.8566023275315,-72.9689864094483,-72.3624662931261,-90.1958287221048
17.25,-6.02006646169513,-6.02084169215334,-3.01066654009295,-10.5256513136828,-31.3750322301654,-77.0493691584507,-67.2211947535986,-73.321330510023,-72.4541221599413,-89.9502986106443
17.5,-6.0200345435817,-6.02094787287141,-3.01061365158401,-10.0164326484051,-37.406455260178,-75.9112541437174,-66.5727044070714,-73.7064424670344,-72.3944910234727,-89.8169020102508
17.75,-8.573088557136,-8.57444606435114,-3.01046223746125,-6.55051851048249,-30.1341889123647,-76.3728304293669,-67.1570810033109,-74.2894305803593,-72.769146647784,-92.0588600799351
18,-10.1324695363305,-10.1344171124631,-3.01043734349796,-5.18982993526506,-24.7482864213445,-76.929459150279,-67.5860929794263,-74.3620596998979,-72.9067339369817,-92.2236669153473
18.25,-11.2340045023116,-11.2366164594359,-3.01042689412844,-4.64061538469908,-22.2136348229214,-77.1837107636643,-67.834551845274,-74.3900687504326,-72.8882179980172,-91.7046042033597
18.5,-12.1316670391408,-12.1350701455211,-3.01042186482282,-4.33085173305834,-20.5931892242712,-77.3069083331737,-68.0147348556134,-74.3772105748297,-72.7811033107423,-90.9551785880443
18.75,-12.9064516927816,-12.9108103782821,-3.01041947377536,-4.13168482363026,-19.4238691198598,-77.3543729547734,-68.1595310766619,-74.3253633541912,-72.6093032806971,-90.142022548842
19,-13.5967005127103,-13.6022148911836,-3.01041848176756,-3.99422769481625,-18.521920158977,-77.3526673854415,-68.2830767452142,-74.235519092634,-72.3843039410217,-89.3330797078505
19.25,-14.2241482586658,-14.2310540311499,-3.01041824193651,-3.89512200322314,-17.7959679213792,-77.3170548790407,-68.3926338083927,-74.1078919578547,-72.1119414874249,-88.5555069885406
19.5,-14.8024998213857,-14.8110681813136,-3.01041838711838,-3.82158434529562,-17.1941026601355,-77.2572765532592,-68.4923700369587,-73.9419958561242,-71.7948143247018,-87.8191781437735
19.75,-15.3410323927792,-15.3515693052158,-3.0104186992829,-3.76595510731727,-16.6840883627618,-77.179993882924,-68.5848656756842,-73.7366955483493,-71.4333451779852,-87.1267295051542
20,-15.8463552598436,-15.859199789292,-3.01041904661683,-3.72333573903225,-16.2445809205149,-77.089989844369,-68.6717945769151,-73.4902239629875,-71.0262863778671,-86.4779893583425
20.25,-16.3233647225365,-16.3388861889884,-3.01041935001019,-3.69043531815255,-15.8607449461241,-76.9908222928148,-68.754255726002,-73.2001647889902,-70.5709425521987,-85.8720059433677
20.5,-16.7758041433094,-16.7943979387381,-3.01041956384522,-3.66495601092187,-15.5218681672325,-76.8852058672815,-68.83294179152,-72.8634044702576,-70.0632211531103,-85.308041595598
20.75,-17.2066126701025,-17.2286946058927,-3.01041966435712,-3.64524286039028,-15.2199734724266,-76.7752463879816,-68.9082295379489,-72.4760723861966,-69.4975643746675,-84.7861439894372
21,-17.6181528630226,-17.6441519547057,-3.01041964214442,-3.63007323844263,-14.9489674019701,-76.6625891329573,-68.9802371247695,-72.0335422440759,-68.8668215389788,-84.3075955208531
21.25,-18.0123649358282,-18.0427145683724,-3.01041949676371,-3.61852460758506,-14.7040946420726,-76.5485139419747,-69.0488793199723,-71.5307758561874,-68.1622591088232,-83.8754283309707
21.5,-18.3908743524368,-18.4260018073558,-3.01041923123449,-3.60988839438808,-14.4815757380126,-76.433997753172,-69.1139544219316,-70.9641925446455,-67.3746256075621,-83.4951839099264
21.75,-18.7550684433244,-18.7953828103164,-3.01041884067769,-3.60361212458808,-14.2783590608159,-76.3197732688915,-69.1753285661656,-70.3412074185601,-66.5014617532429,-83.1761798051891
22,-19.1061513325506,-19.1520299089672,-3.01041826431153,-3.59925947827616,-14.0919465844451,-76.2065096087003,-69.2334613512441,-69.7473141023087,-65.6054856041714,-82.9337713275937
22.25,-19.4451778886092,-19.4969527156184,-3.01041659878038,-3.59648134929519,-13.9202701044047,-76.0982398224428,-69.2946036728085,-73.128065278798,-68.3871748474765,-82.7932082368667
22.5,-19.7730898177296,-19.8310210812292,-3.01041556443308,-3.59499937821806,-13.7616028129751,-75.9843909108512,-69.3125706564985,-66.6306599647737,-60.7367281890858,-82.8002192872073
22.75,-20.0907597089085,-20.1550261269227,-3.01041681843725,-3.59458734370312,-13.6144574893263,-75.8582866903171,-69.3451193221772,-66.3855207868347,-59.8610544408773,-83.0430302571084
23,-20.3988935700299,-20.4695660635885,-3.01042036936477,-3.59506027105152,-13.4775887414119,-75.7150187726151,-69.3965659812971,-66.621831676394,-59.5140522037842,-83.6991013155628
23.25,-20.6979546723573,-20.7749487890028,-3.01043001146416,-3.59627291352535,-13.3499095420546,-75.5216336300338,-69.5200616032373,-67.0890772477601,-59.3613773544661,-85.1074163582448
23.5,-20.9863392992955,-21.0691197716794,-3.01047635511682,-3.59816287851519,-13.2303749481689,-75.0186337621105,-70.1868504968613,-67.9118510058396,-59.260842581413,-83.8769992498411
23.75,-21.2827953345523,-21.3741320312971,-3.01025288413009,-3.60125447154081,-13.1207922852656,-75.8735519379878,-68.9542765732188,-67.9262822882037,-59.3901563757739,-76.5766517541257
24,-21.5592831758981,-21.6555712457701,-3.0102966829639,-3.60357000172594,-13.0149494476483,-75.7696645380141,-68.7399937476124,-68.6134147105472,-59.4902575723275,-76.8791569129902
24.25,-21.8310446286867,-21.9320142075954,-3.01030604814361,-3.60647368096874,-12.9157572804473,-75.7072237001266,-68.539456394408,-69.3619978566558,-59.6167774727831,-75.7936196280144
24.5,-22.0976384970811,-22.2025012728663,-3.01030723876835,-3.60971378194948,-12.8222858470735,-75.6568582671222,-68.3310496290369,-70.18432636018,-59.7699358878324,-74.5394146404511
24.75,-22.3594313220389,-22.4671217044749,-3.01030468284284,-3.61320576550965,-12.7339831229998,-75.6145784563631,-68.1069750242293,-71.0755208757212,-59.9474420982905,-73.3083197025503
25,-22.6168664871568,-22.7260614573242,-3.01029981078196,-3.61689615131032,-12.6503958631663,-75.5790252909203,-67.8650974941393,-72.0184996984638,-60.147634284256,-72.1520848905087
